"id","text"
1,"@GBNEWS I don't think we should respect religious sensibilities when making decisions around animal welfare.
Respect the animals."
2,"Animals can experience joy, pleasure, pain, and fear – yet UK law does not recognise it. We have an opportunity to change this! Urge your MP to support the Animal Welfare (Sentience) Bill. #AnimalSentienceBill https://t.co/nwipe4AOvI"
3,"Animals can experience joy, pleasure, pain, and fear – yet UK law does not recognise it. We have an opportunity to change this! Urge your MP to support the Animal Welfare (Sentience) Bill. #AnimalSentienceBill https://t.co/XkF5u3zvif"
4,"Congress Introduces Legislation to Ban Wildlife Killing Contests on Public Lands. Read more at Animal Welfare Institute via @AWIOnline https://t.co/1jUyJ9ZY15"
5,"@keetmom5 @imanid10t @emrazz Animal rights are at the front of veganism, do you care at all that Animals are denied their rights?

Most of these crops are planted in place of rainforests to feed 'livestock'. If you care about rainforests and pollution from  waste, go vegan."
6,"@ChicoBronson @emrazz You're like a bot now.

How about don't tell feminists they can't compare their own oppression to even more oppressed persons to explain anti-oppression.

And don't call NH Animal rights activists zealots and don't compare them to xtians. For starters."
7,"@GayatriJoshiMD @joules54228823 @scottbishop @CTTrekkie @emrazz Yeah, a human animal and a human supremacist.

Even though you seem like a moron, you are still not beneath anyone and have basic rights, can you understand this concept? Whatever you think of Nonhuman Animals, it does not make them lower than you."
8,"@kadelopa @emrazz So you're just saying people dgaf about Animal rights and will only care about their own needs, it's human supremacist take.

This person is tweeting about liberation and upon new information about oppression started swearing at people, absolute hypocrite."
9,"@pair0dox @emrazz Why? Because people are too evil to ever gaf about Animal rights? This person is supposedly fighting for the oppressed and their reaction tells us they are full of shit, it's exactly the people that must be called out, fake ass hypocrites."
10,"Our Animal Law &amp; Policy Clinic has filed a lawsuit against the @USDA on behalf of @ALDF and @rise_foranimals for implementing a secret policy that evades its statutory obligation to conduct annual full  inspections of research facilities as required by the Animal Welfare Act. https://t.co/bpxU3BOpXf"
11,"HAPPENING NOW | Dozens of animals are being seized from a home on Sanford Street in Alfred. 

According to the Animal Welfare Program, the home owners were trying to operate an unlicensed animal shelter for the past year and have failed several state inspections. @WGME https://t.co/QAIRitE34d"
12,"STAE with nation’s leading animal welfare groups in today’s Guardian demanding PM honour not betray promises for the Asian elephants. GOVT 
https://t.co/E8dzdMibkY
@BorisJohnson"
13,"Disgusted that British state schools are allowed to serve non stunned ritually slaughtered meat with no alternative for non Muslims #kirklees

In the 21st century animal welfare should trump religious ritual every time https://t.co/IlsldDZ7X5"
14,"Nah I don’t believe in animal rights they belong in labs 😭😭😭😭😭"
15,"@MP_Panek @guardian Interesting - so to clarify, do you place animal rights over human rights? Banning trophy hunting without better alternatives ready will make things worse for both wildlife and people https://t.co/wS4S5KpHxK"
16,"Great to have this letter out in @guardian, highlighting some of the risks to both #conservation and #animal #welfare of poorly informed policies, such as the current version of the Animals Abroad Bill. Thanks to @AdamHartScience &amp; all involved colleagues https://t.co/pLlnRXQfw3"
17,"STAE with nation’s leading animal welfare groups in today’s Guardian demanding PM honour not betray promises for the Asian elephants. GOVT 
https://t.co/iEBKWNhz9T
@BorisJohnson"
18,"@FleurFleurshack @lorraineandlill It has to start somewhere. Otherwise what, say all human and animal rights violations are too hard to deal with?"
19,"Government states it would prefer all animals to be stunned before slaughter after passing animal welfare bill https://t.co/rR3UOO2gI5"
20,"Meghan Markle 'mutually agrees' to end patronage of animal welfare charity in UK https://t.co/ChOuB7xA53"
21,"Meghan Markle 'mutually agrees' to end patronage of animal welfare charity in UK https://t.co/ChOuB7PbtD"
22,"'You're part of the problem.'

'You're living in cuckoo late.'

Vegan gardener Matthew Appleby, farmer Gareth Wyn Jones and animal rights activist Joey Carbstrong join Darren Grimes to debate whether supermarkets should ban cheap meats.

📺 Freeview 236, Sky 515, Virgin 626 https://t.co/XXgJHo2IKE"
23,"Government states it would prefer all animals to be stunned before slaughter after passing animal welfare bill https://t.co/rR3UOOjS6F"
24,"I appreciate to some this is a bit woo woo and not everyone’s cup of tea. Which is why I have kept this aspect of my personal life separate &amp; private to the animal welfare focus &amp; community I have come to love here on Twitter."
25,"@lovetttle @kinga_valentino @RealMiBaWi Yes let’s hope she successfully gets kicked out of animal welfare for good..at the very least. I really wanted to give her the benefit of the doubt because of the volatile circumstances but the evidence against her/volunteers testimonies are overwhelming"
26,"@nbrangenberg @MarcBracke Interesting. Do you not think that animal welfare should be a space that veterinarians are fully across and within which they are competent? 
I’ve never seen it to be in preference to AWS. We need both."
