"id","text"
4001,"@velapuntea @zoo_bear If you really thought that the sanghis were driven by concerns about animal welfare, then I have a bridge to sell you."
4880,"See full story at https://t.co/zjHitlFdTd"
107,"Help to protect police dogs in Nothern Ireland! Plz sign: https://t.co/OXUOcZDmOR https://t.co/nabAD2SP1K"
4454,"@DailyMailUK Must be about animal welfare having 3 dogs on the front page 🤔"
205,"@zoophilosophy For sure! But then I wonder how they might characterise animal welfare (if it doesn’t apparently include health)."
2073,"Are you passionate about the great outdoors? Or are you interested in animal welfare, rescuing and rehoming animals? Perhaps you see a future in farming, or dog grooming? https://t.co/GH7kIxndEC"
4117,"@VeganiaA @nourishup365 @smitajs PCRM is an animal rights organization posing as medical professionals"
778,"Exceptions for public display may be granted in respect of birds which are approved as pets.
The wildlife must be housed in a secured and escape-proof enclosure.
The person keeping the wildlife must comply with the Code of Animal Welfare (for pet owners),"
5584,"@TeamPelosi And Animal Rights Nancy. “respecting all creatures is the basis for peace.” Cesar didn’t have two freezers filled with ice cream. 

▶️. https://t.co/KUx6OPuq0G https://t.co/GoSUolYvw1"
1292,"🚨💊 ALERT: An investigation by @FarmForward  revealed a variety of drugs, including an antibiotic, were found in meat labeled “antibiotic-free,” Animal Welfare Certified™, and USDA Organic on @WholeFoods  shelves! #EndHumanewashing #DemandtheTruth https://t.co/z972XFkz0o"
936,"@BorisJohnson are you getting the message Stop letting people down stop needing to UTurn and stop abusing animals. 
Also what about the unscientific badger cull ‼️
https://t.co/wbcvqBnorv"
4391,"Party for Animal Welfare wishes to congratulate @TomClonan on his election @tcddublin #TCDseanad #Seanad ByElections, defeating the fav @greenparty_ie candidate @hazechu . Tom, can we count on your vote to #banbloodsports in Ireland?!  @banbloodsports https://t.co/CI0He3tp1T"
4461,"@Naija_PR APH 306 “ Animal welfare “"
950,"@_AnimalAdvocate Look at them, what kind of breakfast have they?  How dirty is YaYa's room? If you often monitor them, you will see how stressed they are.  Memphis zoo do not take care them. Animal welfare in this zoo is fake. The pandas are tortured everyday. #saveyaya #savelele https://t.co/v2JDNlVGMx"
3515,"Animals can experience joy, pleasure, pain, and fear – yet UK law does not recognise it. We have an opportunity to change this! Urge your MP to support the Animal Welfare (Sentience) Bill. #AnimalSentienceBill https://t.co/k5h5lJ6c2a"
2821,"@TGTM_Official @peta @Number10cat @dodo Already knew there were no animal rights in China. But this is just too disturbing to watch. 
PRC has been culling animal pets under the name of Biosafety Disposal (无害化处理) to ""prevent"" covid from spreading. We need to expose these inhumane acts!
#TheGreatTranslationMovement"
1457,"Lin Manuel Miranda's understudy assassinates all defectors and declares the victory of animal rights activists"
2248,"This is soooo cool! Thank you @GWtweets! 
Animal rights group wants to build advocacy pipeline with law school program https://t.co/ESGFfvlIlz"
3444,"Animal rights activists fight to stop opening of #octopus farm in Canary Islands #OctopusFarm @peta 
https://t.co/SAIgArynfo  @nbcnews"
4120,"#Okja by #BongJoonHo on #Netflix captures the #AnimalsRightsMovement in its true essence. Here's why you should watch it.
https://t.co/Bd9N6ZLT9q"
3667,"Doris Day, actress, singer and animal rights activist, was born 100 years ago today https://t.co/yHIDxeJ3hG"
1856,"@269Justice If you had a chance to rent a billboard &amp; send a message about animal rights and veganism, what would you say?"
1372,"So an animal rights protester appears to have glued herself to an Agriculture Committee table (note the left hand) #CALeg https://t.co/UlN4V7UZVJ"
4153,"@ANI 😞😕 , Animal smuggling must stop. 
Govt should frame more stringent laws. 
Need new policy for Animal rights. 
More awareness and information is required."
5829,"The government may betray the animals it promised to protect by de-prioritising key animal welfare bills – meaning the UK remains complicit in appalling cruelty to animals. Take action to help save the bills! #DontBetrayAnimals https://t.co/A5EZMT7oFv"
762,"On the subject of that rescue, i did a rather rambling blog post .. 
https://t.co/5SzJxujCqe"
4520,".@BorisJohnson, @DefenceHQ is misleading the public to avoid going fur-free. A faux-fur cap does exist, and the public is urging you to stand by your animal welfare pledge and make the #MoDGoFurFree https://t.co/Vb91706Ujx"
301,"@escapefrommaga @SusanBostonMama @jenbolt @kristinmary63 @KeithDB80 @NoLieWithBTC Yes, and we read Animal Farm in 5th grade

Got us interested in Lit, Politics and Human Rights"
2825,"""We're looking to make sure they're all fit and healthy"" @bindimurray sheep farmer who has spent her whole life caring for livestock is a passionate advocate for animal welfare and continues to work with other people to make this happen. https://t.co/j6OGFGo5wP"
854,"Communism believes humans are just another animal, so promoting animal rights is a perfect tool for us! #Tweet4Taiji #ShutTaijiDown #TheCove"
607,"I support this animal rights!

LA to consider 'Dog and Cats Bill of Rights' resolution moving through state Legislature https://t.co/Z7t3zuPwDW via @abc7"
1889,"@BorisJohnson  #DontBetrayAnimals- Boris Johnson! I stand with @fourpawsuk, we need you to keep your promises for animal welfare #bantrophyhunting #furfreebritain and"
