date,dollars per barrel
May-22,109.55
Apr-22,101.78
Mar-22,108.5
Feb-22,91.64
Jan-22,83.22
Dec-21,71.71
Nov-21,79.15
Oct-21,81.48
Sep-21,71.65
Aug-21,67.7
Jul-21,72.49
Jun-21,71.38
May-21,65.17
Apr-21,61.72
Mar-21,62.33
Feb-21,59.04
Jan-21,52
Dec-20,47.02
Nov-20,40.94
Oct-20,39.4
Sep-20,39.63
Aug-20,42.34
Jul-20,40.71
Jun-20,38.31
May-20,28.56
Apr-20,16.55
Mar-20,29.21
Feb-20,50.54
Jan-20,57.52
Dec-19,59.88
Nov-19,57.03
Oct-19,53.96
Sep-19,56.95
Aug-19,54.81
Jul-19,57.35
Jun-19,54.66
May-19,60.83
Apr-19,63.86
Mar-19,58.15
Feb-19,54.95
Jan-19,51.38
Dec-18,49.52
Nov-18,56.96
Oct-18,70.75
Sep-18,70.23
Aug-18,68.06
Jul-18,70.98
Jun-18,67.87
May-18,69.98
Apr-18,66.25
Mar-18,62.73
Feb-18,62.23
Jan-18,63.7
Dec-17,57.88
Nov-17,56.64
Oct-17,51.58
Sep-17,49.82
Aug-17,48.04
Jul-17,46.63
Jun-17,45.18
May-17,48.48
Apr-17,51.06
Mar-17,49.33
Feb-17,53.47
Jan-17,52.5
Dec-16,51.97
Nov-16,45.66
Oct-16,49.78
Sep-16,45.18
Aug-16,44.72
Jul-16,44.65
Jun-16,48.76
May-16,46.71
Apr-16,40.75
Mar-16,37.55
Feb-16,30.32
Jan-16,31.68
Dec-15,37.19
Nov-15,42.44
Oct-15,46.22
Sep-15,45.48
Aug-15,42.87
Jul-15,50.9
Jun-15,59.82
May-15,59.27
Apr-15,54.45
Mar-15,47.82
Feb-15,50.58
Jan-15,47.22
Dec-14,59.29
Nov-14,75.79
Oct-14,84.4
Sep-14,93.21
Aug-14,96.54
Jul-14,103.59
Jun-14,105.79
May-14,102.18
Apr-14,102.07
Mar-14,100.8
Feb-14,100.82
Jan-14,94.62
Dec-13,97.63
Nov-13,93.86
Oct-13,100.54
Sep-13,106.29
Aug-13,106.57
Jul-13,104.67
Jun-13,95.77
May-13,94.51
Apr-13,92.02
Mar-13,92.94
Feb-13,95.31
Jan-13,94.76
Dec-12,87.86
Nov-12,86.53
Oct-12,89.49
Sep-12,94.51
Aug-12,94.13
Jul-12,87.9
Jun-12,82.3
May-12,94.66
Apr-12,103.32
Mar-12,106.16
Feb-12,102.2
Jan-12,100.27
Dec-11,98.56
Nov-11,97.16
Oct-11,86.32
Sep-11,85.52
Aug-11,86.33
Jul-11,97.3
Jun-11,96.26
May-11,100.9
Apr-11,109.53
Mar-11,102.86
Feb-11,88.58
Jan-11,89.17
Dec-10,89.15
Nov-10,84.25
Oct-10,81.89
Sep-10,75.24
Aug-10,76.6
Jul-10,76.32
Jun-10,75.34
May-10,73.74
Apr-10,84.29
Mar-10,81.2
Feb-10,76.39
Jan-10,78.33
Dec-09,74.47
Nov-09,77.99
Oct-09,75.72
Sep-09,69.41
Aug-09,71.05
Jul-09,64.15
Jun-09,69.64
May-09,59.03
Apr-09,49.65
Mar-09,47.94
Feb-09,39.09
Jan-09,41.71
Dec-08,41.12
Nov-08,57.31
Oct-08,76.61
Sep-08,104.11
Aug-08,116.67
Jul-08,133.37
Jun-08,133.88
May-08,125.4
Apr-08,112.58
Mar-08,105.45
Feb-08,95.39
Jan-08,92.97
Dec-07,91.69
Nov-07,94.77
Oct-07,85.8
Sep-07,79.92
