"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00094728","1869-01","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","0.0","Z","0.0",",Z","9",",Z","5",",Z","0",",Z","","","2",",Z","0",",Z","20",",Z","5",",Z","0",",Z","0",",Z","","","","","","","-8.3",",Z,22,","","","229",",,Z,01,","21.6",",,Z,12,","12.2",",Z,30,+","","","","","523.6",",Z","64.4",",,,Z","","","384",",,,Z","1.44",",Z","4.17",",,,Z","-1.29",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1869-02","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","0.0","Z","0.0",",Z","8",",Z","6",",Z","2",",Z","","","3",",Z","0",",Z","16",",Z","3",",Z","0",",Z","0",",Z","","","","","","","-8.3",",Z,28,","","","152",",,Z,26,","66.0",",,Z,15,","16.1",",Z,13,","","","","","469.8",",Z","174.5",",,,Z","","","244",",,,Z","1.55",",Z","4.28",",,,Z","-1.18",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1869-03","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","0.0","Z","0.0",",Z","11",",Z","7",",Z","2",",Z","","","0",",Z","0",",Z","19",",Z","3",",Z","0",",Z","0",",Z","","","","","","","-15.6",",Z,01,","","","20",",,Z,06,","29.2",",,Z,30,","15.6",",Z,27,","","","","","509.6",",Z","117.0",",,,Z","","","20",",,,Z","1.89",",Z","5.47",",,,Z","-1.68",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1869-04","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","0.9","Z","0.9",",Z","8",",Z","4",",Z","0",",Z","","","0",",Z","0",",Z","2",",Z","0",",Z","5",",Z","0",",Z","","","","","","","-1.1",",Z,04,","","","0",",,Z,30,+","10.9",",,Z,02,","24.4",",Z,19,","","","","","253.3",",Z","35.2",",,,Z","","","0",",,,Z","9.92",",Z","13.09",",,,Z","6.74",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1869-05","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","","","","","13",",Z","11",",Z","0",",Z","","","0",",Z","","","","","","","","","","","","","","","","","","","","","0",",,Z,31,+","22.1",",,Z,19,","","","","","","","","","105.5",",,,Z","","","0",",,,Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1869-06","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","","","92.1","1,Z","15",",Z","7",",Z","1",",Z","","","0",",Z","0",",Z","0",",Z","0","1,Z","20","1,Z","0","1,Z","","","","","","","12.2",",Z,10,","","","0",",,Z,30,+","38.9",",,Z,21,","30.6","1,Z,28,","","","","","19.2","1,Z","111.8",",,,Z","","","0",",,,Z","20.81","1,Z","23.41","1,,,Z","18.21",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1869-07","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","","","138.4","1,Z","11",",Z","8",",Z","0",",Z","","","0",",Z","0",",Z","0",",Z","0","1,Z","29","1,Z","1","1,Z","","","","","","","16.7",",Z,30,+","","","0",",,Z,31,+","16.3",",,Z,21,","33.3","1,Z,16,","","","0.0","Z","0.0","1,Z","81.4",",,,Z","","","0",",,,Z","22.92","1,Z","25.65","1,,,Z","20.18",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1869-08","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","","","121.1",",Z","6",",Z","4",",Z","0",",Z","","","0",",Z","0",",Z","0",",Z","0",",Z","27",",Z","2",",Z","","","","","","","13.3",",Z,06,","","","0",",,Z,31,+","16.0",",,Z,13,","35.0",",Z,21,","","","4.8","Z","4.8",",Z","44.7",",,,Z","","","0",",,,Z","22.08",",Z","25.16",",,,Z","19.01",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1869-09","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","","","43.1",",Z","8",",Z","4",",Z","1",",Z","","","0",",Z","0",",Z","0",",Z","0",",Z","20",",Z","0",",Z","","","","","","","7.8",",Z,28,","","","0",",,Z,30,+","34.3",",,Z,27,","30.0",",Z,20,","","","37.5","Z","32.7",",Z","71.4",",,,Z","","","0",",,,Z","18.68",",Z","21.49",",,,Z","15.87",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1869-10","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","","","0.9",",Z","10",",Z","6",",Z","3",",Z","","","0",",Z","0",",Z","3",",Z","0",",Z","5",",Z","0",",Z","","","","","","","-1.1",",Z,27,+","","","0",",,Z,31,+","52.3",",,Z,04,","23.3",",Z,01,","","","279.1","Z","241.6",",Z","164.8",",,,Z","","","0",",,,Z","10.57",",Z","14.10",",,,Z","7.03",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
