date,price,volume
05/01/2018,2654.8,557716864
04/30/2018,2648.05,694642624
04/27/2018,2669.91,519061824
04/26/2018,2666.94,628367360
04/25/2018,2639.4,558914880
04/24/2018,2634.56,626587520
04/23/2018,2670.29,516444640
04/20/2018,2670.14,705811904
04/19/2018,2693.13,529131104
04/18/2018,2708.64,493300864
04/17/2018,2706.39,496520320
04/16/2018,2677.84,510375008
04/13/2018,2656.3,489340288
04/12/2018,2663.99,514725664
04/11/2018,2642.19,472679680
04/10/2018,2656.87,596218816
04/09/2018,2613.16,564683200
04/06/2018,2604.47,636953472
04/05/2018,2662.84,530434816
04/04/2018,2644.69,624103744
04/03/2018,2614.45,631017024
04/02/2018,2581.88,713793280
03/29/2018,2640.87,746031744
03/28/2018,2605,683146304
03/27/2018,2612.62,686582464
03/26/2018,2658.55,674796160
03/23/2018,2588.26,710385984
03/22/2018,2643.69,684188544
03/21/2018,2711.93,539818624
03/20/2018,2716.94,569771392
03/19/2018,2712.92,634327104
03/16/2018,2752.01,1678756352
03/15/2018,2747.33,517766592
03/14/2018,2749.48,587912192
03/13/2018,2765.31,604760704
03/12/2018,2783.02,586466816
03/09/2018,2786.57,580604672
03/08/2018,2738.97,525022528
03/07/2018,2726.8,569775616
03/06/2018,2728.12,559826304
03/05/2018,2720.94,619738240
03/02/2018,2691.25,646045376
03/01/2018,2677.67,737841536
02/28/2018,2713.83,750778944
02/27/2018,2744.28,621882496
02/26/2018,2779.6,559643200
02/23/2018,2747.3,488629024
02/22/2018,2703.96,539433024
02/21/2018,2701.33,594961088
02/20/2018,2716.26,571354624
02/16/2018,2732.22,669882624
02/15/2018,2731.2,571606592
02/14/2018,2698.63,632361856
02/13/2018,2662.94,538762304
02/12/2018,2656,757736640
02/09/2018,2619.55,986284480
02/08/2018,2581,880613312
02/07/2018,2681.66,766057152
02/06/2018,2695.14,1090149632
02/05/2018,2648.94,1000762688
02/02/2018,2762.13,712515008
02/01/2018,2821.98,623001920
01/31/2018,2823.81,815230656
01/30/2018,2822.43,600917632
01/29/2018,2853.53,544693440
01/26/2018,2872.87,569404096
01/25/2018,2839.25,553948736
01/24/2018,2837.54,609308032
01/23/2018,2839.13,545995328
01/22/2018,2832.97,603357888
01/19/2018,2810.3,753914944
01/18/2018,2798.03,592316928
01/17/2018,2802.56,633506688
01/16/2018,2776.42,711573760
01/12/2018,2786.24,583103744
01/11/2018,2767.56,493747520
01/10/2018,2748.23,529855584
01/09/2018,2751.29,509578336
01/08/2018,2747.71,531091968
01/05/2018,2743.15,534970176
01/04/2018,2723.99,561303616
01/03/2018,2713.06,540193344
01/02/2018,2695.81,513863968
12/29/2017,2673.61,460819392
12/28/2017,2687.54,296034560
12/27/2017,2682.62,335290464
12/26/2017,2680.5,310308128
12/22/2017,2683.34,403668832
12/21/2017,2684.57,511566208
12/20/2017,2679.25,521433856
12/19/2017,2681.47,556473472
12/18/2017,2690.16,608529152
12/15/2017,2675.81,1655377024
12/14/2017,2652.01,529123904
12/13/2017,2662.85,551154880
12/12/2017,2664.11,553661440
12/11/2017,2659.99,510556608
12/08/2017,2651.5,490109088
12/07/2017,2636.98,526053632
12/06/2017,2629.27,531557568
12/05/2017,2629.57,633406080
12/04/2017,2639.44,724762688
12/01/2017,2642.22,670644224
11/30/2017,2647.58,1041514112
11/29/2017,2626.07,653621696
11/28/2017,2627.04,542768320
11/27/2017,2601.42,481797344
11/24/2017,2602.42,204379840
11/22/2017,2597.08,421544128
11/21/2017,2599.03,505692192
11/20/2017,2582.14,466385440
11/17/2017,2578.85,589985856
