ticker,data_field,01/01/2010,02/01/2010,03/01/2010,04/01/2010,05/01/2010,06/01/2010,07/01/2010,08/01/2010,09/01/2010,10/01/2010,11/01/2010,12/01/2010,01/01/2011,02/01/2011,03/01/2011,04/01/2011,05/01/2011,06/01/2011,07/01/2011,08/01/2011,09/01/2011,10/01/2011,11/01/2011,12/01/2011,01/01/2012,02/01/2012,03/01/2012,04/01/2012,05/01/2012,06/01/2012,07/01/2012,08/01/2012,09/01/2012,10/01/2012,11/01/2012,12/01/2012,01/01/2013,02/01/2013,03/01/2013,04/01/2013,05/01/2013,06/01/2013,07/01/2013,08/01/2013,09/01/2013,10/01/2013,11/01/2013,12/01/2013,01/01/2014,02/01/2014,03/01/2014,04/01/2014,05/01/2014,06/01/2014,07/01/2014,08/01/2014,09/01/2014,10/01/2014,11/01/2014,12/01/2014,01/01/2015,02/01/2015,03/01/2015,04/01/2015,05/01/2015,06/01/2015,07/01/2015,08/01/2015,09/01/2015,10/01/2015,11/01/2015,12/01/2015,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,01/01/2017,02/01/2017,03/01/2017,04/01/2017,05/01/2017,06/01/2017,07/01/2017,08/01/2017,09/01/2017,10/01/2017,11/01/2017,12/01/2017,01/01/2018,02/01/2018,03/01/2018,04/01/2018
WEBS US Equity,FUND_TOTAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOGU US Equity,FUND_TOTAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQQQ US Equity,FUND_TOTAL_ASSETS,,7.114,11.306,13.0825,27.8235,32.3145,34.212,55.641,68.944,65.736,57.888,53.125,59.577,61.368,69.96,75.5625,89.5125,96.759,90.519,86.58,118.9485,112.454,91.233,94.512,127.322,124.307,136.4935,128.78,129.2451,119.7316,116.4903,185.5961,194.6561,175.629,139.4349,133.9658,140.967,181.5873,195.1014,203.9069,212.8825,201.3799,200.7637,233.5257,217.5338,187.3273,187.968,181.5225,177.2896,212.4718,217.5126,275.0303,359.8141,336.3662,367.2261,338.2978,328.9269,279.8475,261.3778,227.283,237.8002,254.8762,250.3769,291.4599,369.7402,300.2764,291.9273,290.0207,385.2325,411.1709,417.3538,373.997,304.1709,384.5424,434.3219,552.2166,531.9329,420.7432,536.1659,667.7266,632.8695,674.3019,588.1112,618.6671,584.2687,551.4624,531.2848,518.5036,495.8818,542.4234,564.5863,589.5311,603.0171,605.1317,509.0388,487.8684,406.8071,450.7377,457.8574,507.7621
SOXS US Equity,FUND_TOTAL_ASSETS,,,3.65,3.216,11.942,11.508,10.9725,8.744,10.0233,9.22,11.706,11.715,14.26,15.888,20.3741,20.8454,21.7533,12.8268,14.6603,20.2559,26.4106,19.1737,13.8248,17.0102,29.1431,28.7878,31.509,19.1273,16.5774,21.2611,20.5516,34.8163,34.1697,29.8555,23.5022,26.4144,31.1987,36.5909,40.0319,58.8641,45.9127,43.1192,39.0142,38.4084,35.8463,29.5552,28.4699,24.4734,22.9143,18.5774,16.2139,19.3928,15.6809,22.0753,22.4842,19.3962,27.2089,20.6451,19.2773,18.7809,22.8418,19.8588,18.3587,21.2489,20.2213,25.942,26.8482,41.5162,46.9479,38.1789,40.6082,36.1816,28.7726,30.5409,34.8544,50.5791,61.3664,54.5971,50.0559,49.1583,46.7576,51.4607,32.9053,32.8819,30.0778,38.1201,35.4508,33.7325,37.2857,39.045,44.4878,43.8144,42.3859,48.9159,48.7435,39.7753,47.0743,42.9511,51.8958,47.8979
MJIN US Equity,FUND_TOTAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCC US Equity,FUND_TOTAL_ASSETS,41.2965,39.96,34.29,27.3878,32.6025,35.9873,38.388,46.44,39.0593,29.64,26.4488,22.9425,22.806,20.664,17.586,13.44,13.32,13.41,13.755,14.235,15.84,12.72,12.4725,12,10.86,8.9843,8.2148,7.9583,7.6104,7.0049,10.3823,9.6829,9.0758,6.1866,5.8659,5.8209,5.1331,7.5331,6.7821,6.4133,6.0985,5.9996,5.3497,5.7184,5.1248,4.6143,4.2815,4.0836,4.4749,6.549,6.8189,6.9364,7.8503,7.6026,9.021,7.1096,7.3618,9.2155,7.4522,5.2101,6.0588,5.2622,4.0536,4.1244,4.0268,4.0356,3.6386,4.1106,2.9874,2.5694,2.6016,2.632,5.2209,3.9553,2.5041,2.5444,2.5122,2.5243,2.3321,2.3871,2.3712,2.475,2.2342,2.2113,2.0765,1.9815,1.9294,1.8273,1.7764,1.8372,1.7745,1.8476,1.821,1.7982,1.5974,1.5197,1.2774,1.3762,1.4346,1.3763
CLDS US Equity,FUND_TOTAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECS US Equity,FUND_TOTAL_ASSETS,55.2915,53.48,58.386,57.907,61.841,58.986,48.5303,59.2503,51.5067,50.7323,51.7821,44.5453,46.4969,43.6682,48.5548,40.3841,41.8188,41.6877,39.3358,26.3886,36.3464,38.6071,31.4961,32.0057,32.5367,42.1679,41.8945,36.8914,34.2472,31.2273,30.6017,32.128,35.985,41.9177,28.2933,26.6831,22.9152,23.3766,22.3362,22.7356,22.4741,24.2545,21.5804,22.0172,21.8366,18.682,19.2646,17.2099,17.2822,16.1826,17.5985,17.1376,18.5558,16.7062,17.2565,14.8753,15.0106,13.9673,11.0264,12.1406,12.0284,11.8793,11.8948,17.7001,20.6383,23.1504,15.5125,21.6052,26.0243,19.03,18.4976,17.6503,18.9641,20.6819,17.1785,21.3625,17.0376,18.747,20.4791,19.6821,19.2353,19.5976,18.3559,17.0463,16.0216,15.3789,16.9341,15.9382,14.6527,17.4821,17.8157,19.9129,19.7921,17.4191,17.6627,18.4593,18.3138,18.5719,22.2112,26.1353
SARK US Equity,FUND_TOTAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA US Equity,FUND_TOTAL_ASSETS,461.6012,504.6202,562.0601,507.0481,452.7851,638.8202,627.5213,768.5103,987.663,887.8898,694.2987,635.2238,765.8788,667.3531,628.998,529.9569,539.2109,611.4266,555.2978,524.5893,811.0639,925.8477,608.9662,741.8001,969.2774,929.3125,744.3909,781.5548,636.7459,649.1624,812.5486,992.4121,1003.0704,835.612,645.5742,681.6603,812.5566,910.7285,852.9009,904.3128,871.9768,757.632,829.3612,918.323,881.9154,665.7225,670.6423,559.6543,588.9399,611.0914,647.3763,617.5949,740.7509,845.6753,856.6971,820.9421,814.1128,606.3844,808.8903,666.4219,594.1818,688.5484,612.7666,695.4878,641.3196,707.3696,508.2851,453.7827,509.8984,504.2827,416.4044,386.1684,349.5874,421.5348,473.9403,577.3418,570.8289,483.8448,582.0481,626.8518,569.5064,590.6249,563.9781,523.3804,513.5822,603.7641,515.1416,715.7328,707.5263,700.1247,716.2231,631.8527,693.4986,657.0663,569.5835,501.2467,461.7736,429.9742,375.0111,382.9444
