ticker,data_field,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013,01/31/2014,02/28/2014,03/31/2014,04/30/2014,05/30/2014,06/30/2014,07/31/2014,08/29/2014,09/30/2014,10/31/2014,11/28/2014,12/31/2014,01/30/2015,02/27/2015,03/31/2015,04/30/2015,05/29/2015,06/30/2015,07/31/2015,08/31/2015,09/30/2015,10/30/2015,11/30/2015,12/31/2015,01/29/2016,02/29/2016,03/31/2016,04/29/2016,05/31/2016,06/30/2016,07/29/2016,08/31/2016,09/30/2016,10/31/2016,11/30/2016,12/30/2016,01/31/2017,02/28/2017,03/31/2017,04/28/2017,05/31/2017,06/30/2017,07/31/2017,08/31/2017,09/29/2017,10/31/2017,11/30/2017,12/29/2017,01/31/2018,02/28/2018,03/30/2018,04/30/2018
ICLN US Equity,PX_VOLUME,700554,468874,658140,901218,694911,525813,295529,338973,248419,357051,295005,395790,431590,463646,1365300,964633,592426,328481,567485,808540,753024,594770,391759,1066124,318754,278100,397746,360984,352848,220091,142186,239828,354778,167738,312340,362154,395254,386817,353862,536798,548932,320591,371384,421427,392302,774921,472779,575561,497165,435770,890703,578470,372483,682614,510072,727657,606487,1249121,339566,1345733,832189,934733,1528270,1663347,2033436,1681748,1473163,1519482,885108,463358,586525,1060971,981835,461008,714019,932263,789451,1226904,682292,697624,647496,564559,1252646,1931644,809864,1031741,1629204,856838,808590,1153556,1051444,1589652,1507791,1478353,2159014,1886493,2541986,1728627,1099438,3441910
ICLN US Equity,PX_LAST,19.24,17.88,18.84,18.4,15.21,14.6,16.25,15.53,17.2712,16.96,14.87,15.8401,16.49,17.18,18.85,18.37,17.02,16.2,14.67,13.22,9.27,9.8,9.33,8.54,9.28,9.5525,9.1,8.528,7.05,7.22,6.314,6.7199,6.85,6.51,6.65,7.17,7.32,7.2945,7.36,8.5,9,8.741,9.32,8.91,10.239,10.59,10.58,10.44,10.3501,11.1712,11.2,10.698,11.143,11.86,11.19,11.78,10.87,10.45,10.232,9.68,9.975,10.9299,11.8587,12.49,12.15,11.12,10.5,9.44,9.06,9.8,9.42,9.84,8.7,8.41,9.3399,9.2,8.72,8.7773,9.1,9.19,9.16,8.8637,8.0369,7.88,8.25,8.61,8.56,8.48,8.69,8.56,9.03,9.13,8.98,9.305,8.9134,9.32,9.57,9.36,9.52,9.85
ICLN US Equity,FUND_FLOW,2.277,0,-3.722,-1.913,-3.286,0,0,0,0,-1.776,0,0,0,3.427,10.435,5.469,0,1.608,-1.492,-1.239,-1.123,-0.992,-0.884,-1.661,0,0,0.91,0.847,0,-0.716,0,-0.678,0,0,0,0,0.749,0,0,0,1.743,0,0,1.885,0,2.181,1.057,0,1.089,0,4.423,2.125,0,4.645,1.178,4.681,0,0.985,-3.098,1.937,3.897,-1.088,4.565,1.265,13.958,-4.703,0.011,0.117,2.808,0,1.922,2.944,1.869,1.682,1.852,0.896,0,-0.86,-1.764,0,0.991,0.906,0,-0.024,0.825,0.869,1.7,0.845,2.595,5.09,3.507,5.422,10.892,6.377,12.524,3.579,5.73,4.697,2.861,15.36
ICLN US Equity,EQY_SH_OUT,3.8,3.8,3.6,3.5,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.4,4,4.3,4.3,4.4,4.3,4.2,4.1,4,3.9,3.7,3.7,3.7,3.8,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.8,4,4,4,4.2,4.2,4.4,4.5,4.5,4.6,4.6,5,5.2,5.2,5.6,5.7,6.1,6.1,6.2,5.9,6.1,6.5,6.4,6.8,6.9,8,7.6,7.6,7.6,7.9,7.9,8.1,8.4,8.6,8.8,9,9.1,9.1,9,8.8,8.8,8.9,9,9,9,9.1,9.2,9.4,9.5,9.8,10.4,10.8,11.4,12.6,13.3,14.7,15.1,15.7,16.2,16.5,18.1
ICLN US Equity,FUND_TOTAL_ASSETS,74.138,68.324,68.328,65.31,50.292,48.51,53.658,51.579,57.1709,54.464,47.584,50.624,52.736,58.174,74.92,78.905,72.67,71.28,63.21,55.86,38.417,39.68,36.153,32.005,34.595,35.372,34.58,33.189,27.6186,27.436,24.168,24.79,25.345,24.161,24.679,26.418,27.816,27.74,28.044,32.11,36,34.76,37.2,37.506,42.798,46.332,47.43,46.755,48.024,51.796,55.8,55.3945,57.772,66.1004,63.9911,71.7933,65.9787,64.7179,60.6564,59.3151,64.8268,69.8866,80.6487,86.385,95.7989,84.5588,80.0027,71.9906,71.4562,77.543,75.7441,82.1589,74.1993,74.1404,83.4102,83.9648,79.2764,78.6979,79.8416,80.9358,80.8539,79.5076,72.1939,71.2568,75.1112,79.3719,80.2315,80.5612,84.8298,88.7627,97.191,103.2921,112.5986,123.3961,130.6892,140.3463,150.3224,151.7297,156.1421,178.7043
TAN US Equity,PX_VOLUME,1260249,756447,1083009,956454,1193461,747469,1189847,1083984,847267,1770401,1775265,841303,1141223,1352805,2759787,1633490,1239302,872442,583414,1066285,1167925,1111670,815128,743818,1577724,3318687,2537175,1640728,1666645,1173690,935199,755294,1122462,674002,705257,1283278,2486479,3868049,2628154,4031277,7173701,4006138,5602196,4013540,4400007,19592376,12213397,8817928,12762907,12682132,16286242,13051124,8637485,8544811,5971156,4083600,4037408,6802255,4076637,4107151,3517878,3896302,6483377,6262836,7379129,4616594,5317598,5769165,2367333,2491807,2310033,9957420,4236429,1953497,1980057,2215043,1831214,2687308,1314773,2467694,1809383,2216105,2918296,4338638,1792071,5406553,3503460,2415990,2860181,6547727,5187588,5272012,6029580,5384451,6363156,5237690,5486056,5392126,2578769,1867570
TAN US Equity,PX_LAST,87.7,77.6,85.6,84.4,66.6,64.5,76.2,72.9,86.1,84.1,68.5,73,79.6,82.1,88,88,74.9,71.1,64.3,54.6,32.3,35,30.7,24.7,30.3,28.91,24.88,22.15,17.58,18.34,15.3,16.71,16.76,14.67,14.31,15.64,17.92,17.95,16,20.381,24.92,23.75,28.52,27.16,34.51,36.31,38.61,35.18,39.33,46.7,44.21,40.88,40.79,44.57,39.42,43.39,40.65,38.35,35.73,34.1,33.83,39.5,44.43,47,42.49,39.22,35.32,29.57,26.54,29.8,26.54,30.64,25.21,23.45,22.66,23.82,22.01,20.96,21.42,20.91,20.31,19.1,17.53,16.57,17.29,18.76,17.28,17.5,18.51,19.89,21.64,21.7,21.65,23.98,24.57,25.13,25.06,24.27,24.56,24.62
TAN US Equity,FUND_FLOW,-5.8197,5.8438,-4.0994,4.9026,-2.5284,1.1469,6.5278,-6.1224,-6.5493,39.7367,-26.193,-7.0903,12.037,7.6304,32.2288,-3.2244,-16.9704,-3.2426,-6.458,-3.3933,-1.3494,6.7025,-0.8647,2.9214,9.057,9.4438,-4.0841,-1.8755,3.5275,-2.7353,-1.3002,-1.4556,2.8405,0,3.303,1.0649,8.9788,7.9568,-5.4649,0.5537,21.3035,5.6218,44.4391,-4.0861,15.4405,108.9518,26.7865,-64.9378,55.9431,64.2512,-40.5738,37.1905,-22.9226,29.1106,-42.5876,-10.5274,-6.7466,-16.2072,-20.0825,-0.9556,0.3865,15.2928,-24.573,57.7286,-52.7976,-0.1628,-8.9665,21.7525,-6.4809,4.9739,4.5611,43.1023,-12.5056,5.488,0,9.3986,1.6957,8.3049,0,1.7374,-3.1488,3.2288,-8.4583,-8.8913,5.6151,18.8982,5.7131,-1.3831,1.4311,49.5034,31.3112,15.5876,7.576,4.0915,35.6577,-11.0253,-5.9541,-45.8667,-3.9331,0
TAN US Equity,EQY_SH_OUT,1.968,2.04,1.992,2.048,2.016,2.032,2.112,2.016,1.936,2.392,2.04,1.944,2.088,2.176,2.576,2.536,2.328,2.28,2.184,2.12,2.096,2.296,2.272,2.384,2.688,2.968,2.808,2.728,2.888,2.728,2.648,2.568,2.728,2.728,2.968,3.048,3.528,3.928,3.608,3.608,4.488,4.728,6.408,6.248,6.728,9.528,10.168,8.328,9.688,11.128,10.248,11.048,10.488,11.128,10.088,9.848,9.688,9.208,8.648,8.648,8.648,9.048,8.488,9.688,8.488,8.488,8.248,8.888,8.648,8.808,8.968,10.328,9.848,10.088,10.088,10.488,10.568,10.968,10.968,11.048,10.888,11.048,10.568,10.088,10.408,11.448,11.768,11.688,11.768,14.408,15.928,16.648,16.968,17.128,18.568,18.088,17.848,15.928,15.768,15.768
TAN US Equity,FUND_TOTAL_ASSETS,172.877,159.0568,169.6188,173.7584,135.0136,133.0391,160.1931,147.6821,166.8832,201.1481,141.1526,142.6741,165.5763,178.8629,227.1929,222.2499,173.9948,163.7428,141.6931,118.2179,68.3401,81.4437,69.1824,59.3234,80.5833,86.5496,74.0288,60.5057,50.6844,50.2544,41.0064,42.9721,45.7196,40.1119,42.5273,47.2799,63.3326,70.431,57.8337,70.0454,108.2502,109.4911,182.1698,170.1387,229.8668,347.8835,393.709,293.1381,383.576,520.2006,451.3773,449.5387,450.5929,495.3996,424.7639,429.0975,395.2286,353.7394,312.2979,296.6404,291.4557,356.5643,369.5038,457.2735,362.9049,334.771,293.9298,266.5355,229.608,262.1418,237.0396,316.1672,246.6334,231.8608,228.3094,250.2756,231.8808,229.7385,234.5185,230.741,219.4827,211.7566,185.7907,166.9909,179.8617,214.3493,203.8619,204.8661,217.5076,286.2562,343.6395,359.9921,372.712,409.9091,456.0206,445.4757,457.1132,391.2012,385.7779,390.5859
